Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Charles Hotel - Harvard Square,1 Bennett St,,Cambridge,MA,2138,,617-864-1200,E,,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,4,,,Non-Networked,,200-9,42.372442,-71.122882,2/13/2023,38525,2023-11-16 19:26:22 UTC,P,,,9/13/2010,,,,,J1772 NEMA515,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
LPG,Propane Plus,177 Winthrop St,Rt 44 and 118,Rehoboth,MA,2769,,508-252-3359,E,,Public,8am-4:30pm M-F,A Cash D M V,,,,,,,,,,200-9,41.858677,-71.229576,10/13/2025,41076,2025-10-13 20:52:30 UTC,P,,,9/28/2011,,,TRUE,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME,,,,,,,,FALSE,,,,,,,,HD,,
ELEC,State Street Garage,75 State St,,Boston,MA,2109,,617-443-2816,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,200-9,42.358449,-71.055089,1/9/2024,43860,2025-10-02 19:58:26 UTC,P,,,12/9/2011,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,MASS AUDUBON JOPPA FLATS,1 Plum Island Turnpike,Front left of building,Newburyport,MA,1950,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.799163,-70.847133,11/13/2025,43865,2025-11-13 01:15:41 UTC,,,,1/31/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
E85,Magazine Beach Shell Auto Repair Service,700 Memorial Dr,Intersection of Magazine St and Memorial Dr,Cambridge,MA,2139,,617-354-5565,E,,Public,6:30am-9pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,42.356813,-71.114147,10/13/2025,44857,2025-10-13 20:52:30 UTC,P,,,8/15/2016,,,,FALSE,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,
ELEC,Jerry Rome Nissan,500 Riverdale St,,West Springfield,MA,1089,,413-746-2266,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.119685,-72.626476,2/12/2024,45812,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Jerry Rome Nissan,500 Riverdale St,,West Springfield,MA,1089,,413-746-2266,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.119685,-72.626476,2/12/2024,45813,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Kelly Nissan of Woburn,95 Cedar St,,Woburn,MA,1801,,781-835-3500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.499069,-71.119302,3/7/2022,45817,2023-02-14 15:54:11 UTC,P,,,4/25/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Bertera Nissan,569 Oxford St S,,Auburn,MA,1501,,508-832-9611,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,42.182748,-71.850396,2/12/2024,45874,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Bertera Nissan,569 Oxford St S,,Auburn,MA,1501,,508-832-9611,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.182748,-71.850396,2/12/2024,45875,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Battles Nissan,60 MacArthur Blvd,,Bourne,MA,2532,,508-759-4400,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,41.73883,-70.58621,2/12/2024,45878,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Battles Nissan,60 MacArthur Blvd,,Bourne,MA,2532,,508-759-4400,E,,Private,,,,,,,1,,,Non-Networked,,200-8,41.73883,-70.58621,2/12/2024,45879,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Nissan 24,1016 Belmont St,Located near the service entrance,Brockton,MA,2301,,508-588-9520,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,42.063356,-71.058186,2/12/2024,45880,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Nissan 24,1016 Belmont St,Located near the service entrance,Brockton,MA,2301,,508-588-9520,E,,Private,,,,,,,1,,,Non-Networked,,GPS,42.063356,-71.058186,2/12/2024,45881,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Curry Nissan Chicopee,765 Memorial Dr,,Chicopee,MA,1020,,413-474-6800,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,42.17889,-72.575914,2/12/2024,45882,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Country Nissan,40 Russell St,,Hadley,MA,1035,,413-774-3121,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,42.34039,-72.60616,2/12/2024,45886,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Country Nissan,40 Russell St,,Hadley,MA,1035,,413-774-3121,E,,Private,,,,,,,1,,,Non-Networked,,200-8,42.34039,-72.60616,2/12/2024,45887,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Sullivan Brothers Nissan,1 Cranberry Rd,,Kingston,MA,2364,,781-585-7500,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,41.976052,-70.7127,2/12/2024,45890,2025-02-12 00:16:32 UTC,P,,,4/25/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Sullivan Brothers Nissan,1 Cranberry Rd,,Kingston,MA,2364,,781-585-7500,E,,Private,,,,,,,1,,,Non-Networked,,200-9,41.976052,-70.7127,2/12/2024,45891,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Ron Bouchard's Nissan,490 Old Union Turnpike,,Lancaster,MA,1523,,978-345-1800,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,42.51942,-71.70076,2/12/2024,45892,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Ron Bouchard's Nissan,490 Old Union Turnpike,,Lancaster,MA,1523,,978-345-1800,E,,Private,,,,,,,1,,,Non-Networked,,200-8,42.51942,-71.70076,2/12/2024,45893,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Kelly Nissan - Lynnfield,275 Broadway,,Lynnfield,MA,1940,,781-598-1234,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.509982,-71.008978,2/12/2024,45894,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Kelly Nissan - Lynnfield,275 Broadway,,Lynnfield,MA,1940,,781-598-1234,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.509982,-71.008978,2/12/2024,45895,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Marlborough Nissan,740 Boston Post Rd,,Marlborough,MA,1752,,508-481-3232,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.351115,-71.500717,2/12/2024,45896,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Marlborough Nissan,740 Boston Post Rd,,Marlborough,MA,1752,,508-481-3232,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.351115,-71.500717,2/12/2024,45897,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Colonial Nissan - Medford,104 Mystic Ave,,Medford,MA,2155,,781-395-5300,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.412492,-71.106619,2/12/2024,45898,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Colonial Nissan - Medford,104 Mystic Ave,,Medford,MA,2155,,781-395-5300,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.412492,-71.106619,2/12/2024,45899,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Nissan Village of North Attleboro,685 S Washington St,,North Attleboro,MA,2761,,508-695-3515,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,41.960366,-71.342187,2/12/2024,45902,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Nissan Village of North Attleboro,685 S Washington St,,North Attleboro,MA,2761,,508-695-3515,E,,Private,,,,,,,1,,,Non-Networked,,200-9,41.960366,-71.342187,2/12/2024,45903,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Coastal Nissan,109 Accord Park Dr,,Norwell,MA,2061,,781-610-1000,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,42.165417,-70.887748,2/12/2024,45904,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Coastal Nissan,109 Accord Park Dr,,Norwell,MA,2061,,781-610-1000,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.165417,-70.887748,2/12/2024,45905,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Boch Nissan,525 Boston Providence Hwy,,Norwood,MA,2062,,781-326-1500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,42.192081,-71.1849002,2/12/2024,45906,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Boch Nissan,525 Boston Providence Hwy,,Norwood,MA,2062,,781-326-1500,E,,Private,,,,,,,1,,,Non-Networked,,GPS,42.192081,-71.1849002,2/12/2024,45907,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Haddad Nissan,25 W Housatonic St,,Pittsfield,MA,1201,,413-997-9399,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.445108,-73.256216,2/12/2024,45908,2025-02-12 00:16:32 UTC,P,,,6/26/2018,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Haddad Nissan,25 W Housatonic St,,Pittsfield,MA,1201,,413-997-9399,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.445108,-73.256216,2/12/2024,45909,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Quirk Nissan,600 Southern Artery,,Quincy,MA,2169,,617-472-6700,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,42.25353,-70.99149,2/12/2024,45910,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Quirk Nissan,600 Southern Artery,,Quincy,MA,2169,,617-472-6700,E,,Private,,,,,,,1,,,Non-Networked,,200-8,42.25353,-70.99149,2/12/2024,45911,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Mastria Nissan,1305 New State Hwy,,Raynham,MA,2767,,,E,,Public - Call ahead,Dealership business hours; contact 508-824-8614 for more information,,,,,,1,1,,Non-Networked,,GPS,41.904046,-71.017203,2/12/2024,45912,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Mastria Nissan,1305 New State Hwy,,Raynham,MA,2767,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,41.904046,-71.017203,2/12/2024,45913,2025-02-12 00:16:32 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Electric Insurance Co,75 Sam Fonzo Dr,,Beverly,MA,1915,,,E,,Private,24 hours daily,,,,,,2,,,Non-Networked,,GPS,42.579607,-70.90188,11/6/2024,46857,2025-02-12 00:16:32 UTC,P,,,12/27/2011,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,Town of Nantucket - Town Hall Annex,37 Washington St,,Nantucket,MA,2554,,508-228-7200,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,200-9,41.280829,-70.09553,11/13/2025,47471,2025-11-13 20:02:17 UTC,T,,,6/1/2012,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,$0.30/kWh,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Nantucket Airport,14 Airport Rd,3 plugs located next door near the gas station,Nantucket,MA,2554,,508-325-5300,E,,Public,8am-5pm M-F,,,,,,3,,,Non-Networked,,200-9,41.258249,-70.063098,11/9/2023,47473,2025-11-04 20:43:42 UTC,T,,,9/28/2021,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,HD,FALSE,
E85,Gulf,Mile Marker 80.4 Eastbound Mass Pike,,Charlton,MA,1507,,508-248-4735,E,,Public,24 hours daily,A Cash Checks D Debit M V Voyager Wright_Exp,,,,,,,,,,GPS,42.155986,-71.964853,11/13/2025,48558,2025-11-13 20:01:41 UTC,P,,,8/1/2012,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
ELEC,Michaud Mitsubishi,80 Andover St,,Danvers,MA,1923,,,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2,,,Non-Networked,,200-9,42.55235,-70.962101,12/10/2024,48856,2025-02-12 00:16:32 UTC,P,,,7/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,MD,FALSE,
E85,Gulf,6 Massachusetts Turnpike,,Charlton,MA,1507,,508-248-3308,E,,Public,24 hours daily; must come into the store and notify attendant that you want E85,A Cash Comdata D M V Voyager Wright_Exp,,,,,,,,,,GPS,42.140125,-72.024614,11/13/2025,48939,2025-11-13 20:01:41 UTC,P,,,7/25/2012,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
ELEC,LELD TOYOTA 2,221 Great Rd,,Littleton,MA,1460,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.543673,-71.466175,11/13/2025,49026,2025-11-13 01:13:23 UTC,,,,7/31/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
